-1	BC1:OA	BC2:AA	BC3:AA	BP1:UU	BP2:UU	BQ1:UOA	BQ2:UAA	BQ3:UOA	BQ4:UAA	BW1:B1L	BW2:Li	BW3:it	TC1:OOA	TC2:OAA	TC3:AAA	TC4:AAA	TQ1:UOOA	TQ2:UOAA	TQ3:UOOA	TQ4:UOAA	TW1:B2B1L	TW2:B1Li	TW3:Lit	TW4:its	UC1:O	UC2:O	UC3:A	UC4:A	UC5:A	UC6:A	UP1:U	UP2:U	UP3:U	UQ1:UO	UQ2:UO	UQ3:UA	UW1:B2	UW2:B1	UW3:L	UW4:i	UW5:t	UW6:s
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:eg	BW2:gm	BW3:me	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:Seg	TW2:egm	TW3:gme	TW4:men	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:S	UW2:e	UW3:g	UW4:m	UW5:e	UW6:n
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:gm	BW2:me	BW3:en	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:egm	TW2:gme	TW3:men	TW4:ent	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:e	UW2:g	UW3:m	UW4:e	UW5:n	UW6:t
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:me	BW2:en	BW3:nt	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:gme	TW2:men	TW3:ent	TW4:nte	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:g	UW2:m	UW3:e	UW4:n	UW5:t	UW6:e
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:en	BW2:nt	BW3:te	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAA	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:men	TW2:ent	TW3:nte	TW4:ter	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:A	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:m	UW2:e	UW3:n	UW4:t	UW5:e	UW6:r
-1	BC1:AA	BC2:AA	BC3:AA	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:nt	BW2:te	BW3:er	TC1:AAA	TC2:AAA	TC3:AAA	TC4:AAI	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:ent	TW2:nte	TW3:ter	TW4:erを	UC1:A	UC2:A	UC3:A	UC4:A	UC5:A	UC6:I	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:e	UW2:n	UW3:t	UW4:e	UW5:r	UW6:を
-1	BC1:AA	BC2:AA	BC3:AI	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:te	BW2:er	BW3:rを	TC1:AAA	TC2:AAA	TC3:AAI	TC4:AIH	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:nte	TW2:ter	TW3:erを	TW4:rを参	UC1:A	UC2:A	UC3:A	UC4:A	UC5:I	UC6:H	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:n	UW2:t	UW3:e	UW4:r	UW5:を	UW6:参
1	BC1:AA	BC2:AI	BC3:IH	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAI	BQ3:OAA	BQ4:OAI	BW1:er	BW2:rを	BW3:を参	TC1:AAA	TC2:AAI	TC3:AIH	TC4:IHH	TQ1:OAAA	TQ2:OAAI	TQ3:OAAA	TQ4:OAAI	TW1:ter	TW2:erを	TW3:rを参	TW4:を参考	UC1:A	UC2:A	UC3:A	UC4:I	UC5:H	UC6:H	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:t	UW2:e	UW3:r	UW4:を	UW5:参	UW6:考
1	BC1:AI	BC2:IH	BC3:HH	BP1:OO	BP2:OB	BQ1:OAI	BQ2:OIH	BQ3:BAI	BQ4:BIH	BW1:rを	BW2:を参	BW3:参考	TC1:AAI	TC2:AIH	TC3:IHH	TC4:HHI	TQ1:OAAI	TQ2:OAIH	TQ3:BAAI	TQ4:BAIH	TW1:erを	TW2:rを参	TW3:を参考	TW4:参考に	UC1:A	UC2:A	UC3:I	UC4:H	UC5:H	UC6:I	UP1:O	UP2:O	UP3:B	UQ1:OA	UQ2:OA	UQ3:BI	UW1:e	UW2:r	UW3:を	UW4:参	UW5:考	UW6:に
-1	BC1:IH	BC2:HH	BC3:HI	BP1:OB	BP2:BB	BQ1:BIH	BQ2:BHH	BQ3:BIH	BQ4:BHH	BW1:を参	BW2:参考	BW3:考に	TC1:AIH	TC2:IHH	TC3:HHI	TC4:HIH	TQ1:BAIH	TQ2:BIHH	TQ3:BAIH	TQ4:BIHH	TW1:rを参	TW2:を参考	TW3:参考に	TW4:考に開	UC1:A	UC2:I	UC3:H	UC4:H	UC5:I	UC6:H	UP1:O	UP2:B	UP3:B	UQ1:OA	UQ2:BI	UQ3:BH	UW1:r	UW2:を	UW3:参	UW4:考	UW5:に	UW6:開
1	BC1:HH	BC2:HI	BC3:IH	BP1:BB	BP2:BO	BQ1:BHH	BQ2:BHI	BQ3:OHH	BQ4:OHI	BW1:参考	BW2:考に	BW3:に開	TC1:IHH	TC2:HHI	TC3:HIH	TC4:IHH	TQ1:BIHH	TQ2:BHHI	TQ3:OIHH	TQ4:OHHI	TW1:を参考	TW2:参考に	TW3:考に開	TW4:に開発	UC1:I	UC2:H	UC3:H	UC4:I	UC5:H	UC6:H	UP1:B	UP2:B	UP3:O	UQ1:BI	UQ2:BH	UQ3:OH	UW1:を	UW2:参	UW3:考	UW4:に	UW5:開	UW6:発
1	BC1:HI	BC2:IH	BC3:HH	BP1:BO	BP2:OB	BQ1:OHI	BQ2:OIH	BQ3:BHI	BQ4:BIH	BW1:考に	BW2:に開	BW3:開発	TC1:HHI	TC2:HIH	TC3:IHH	TC4:HHI	TQ1:OHHI	TQ2:OHIH	TQ3:BHHI	TQ4:BHIH	TW1:参考に	TW2:考に開	TW3:に開発	TW4:開発さ	UC1:H	UC2:H	UC3:I	UC4:H	UC5:H	UC6:I	UP1:B	UP2:O	UP3:B	UQ1:BH	UQ2:OH	UQ3:BI	UW1:参	UW2:考	UW3:に	UW4:開	UW5:発	UW6:さ
-1	BC1:IH	BC2:HH	BC3:HI	BP1:OB	BP2:BB	BQ1:BIH	BQ2:BHH	BQ3:BIH	BQ4:BHH	BW1:に開	BW2:開発	BW3:発さ	TC1:HIH	TC2:IHH	TC3:HHI	TC4:HII	TQ1:BHIH	TQ2:BIHH	TQ3:BHIH	TQ4:BIHH	TW1:考に開	TW2:に開発	TW3:開発さ	TW4:発され	UC1:H	UC2:I	UC3:H	UC4:H	UC5:I	UC6:I	UP1:O	UP2:B	UP3:B	UQ1:OH	UQ2:BI	UQ3:BH	UW1:考	UW2:に	UW3:開	UW4:発	UW5:さ	UW6:れ
1	BC1:HH	BC2:HI	BC3:II	BP1:BB	BP2:BO	BQ1:BHH	BQ2:BHI	BQ3:OHH	BQ4:OHI	BW1:開発	BW2:発さ	BW3:され	TC1:IHH	TC2:HHI	TC3:HII	TC4:III	TQ1:BIHH	TQ2:BHHI	TQ3:OIHH	TQ4:OHHI	TW1:に開発	TW2:開発さ	TW3:発され	TW4:された	UC1:I	UC2:H	UC3:H	UC4:I	UC5:I	UC6:I	UP1:B	UP2:B	UP3:O	UQ1:BI	UQ2:BH	UQ3:OH	UW1:に	UW2:開	UW3:発	UW4:さ	UW5:れ	UW6:た
1	BC1:HI	BC2:II	BC3:II	BP1:BO	BP2:OB	BQ1:OHI	BQ2:OII	BQ3:BHI	BQ4:BII	BW1:発さ	BW2:され	BW3:れた	TC1:HHI	TC2:HII	TC3:III	TC4:IIO	TQ1:OHHI	TQ2:OHII	TQ3:BHHI	TQ4:BHII	TW1:開発さ	TW2:発され	TW3:された	TW4:れた、	UC1:H	UC2:H	UC3:I	UC4:I	UC5:I	UC6:O	UP1:B	UP2:O	UP3:B	UQ1:BH	UQ2:OH	UQ3:BI	UW1:開	UW2:発	UW3:さ	UW4:れ	UW5:た	UW6:、
1	BC1:II	BC2:II	BC3:IO	BP1:OB	BP2:BB	BQ1:BII	BQ2:BII	BQ3:BII	BQ4:BII	BW1:され	BW2:れた	BW3:た、	TC1:HII	TC2:III	TC3:IIO	TC4:IOA	TQ1:BHII	TQ2:BIII	TQ3:BHII	TQ4:BIII	TW1:発され	TW2:された	TW3:れた、	TW4:た、R	UC1:H	UC2:I	UC3:I	UC4:I	UC5:O	UC6:A	UP1:O	UP2:B	UP3:B	UQ1:OH	UQ2:BI	UQ3:BI	UW1:発	UW2:さ	UW3:れ	UW4:た	UW5:、	UW6:R
1	BC1:II	BC2:IO	BC3:OA	BP1:BB	BP2:BB	BQ1:BII	BQ2:BIO	BQ3:BII	BQ4:BIO	BW1:れた	BW2:た、	BW3:、R	TC1:III	TC2:IIO	TC3:IOA	TC4:OAA	TQ1:BIII	TQ2:BIIO	TQ3:BIII	TQ4:BIIO	TW1:された	TW2:れた、	TW3:た、R	TW4:、Ru	UC1:I	UC2:I	UC3:I	UC4:O	UC5:A	UC6:A	UP1:B	UP2:B	UP3:B	UQ1:BI	UQ2:BI	UQ3:BI	UW1:さ	UW2:れ	UW3:た	UW4:、	UW5:R	UW6:u
1	BC1:IO	BC2:OA	BC3:AA	BP1:BB	BP2:BB	BQ1:BIO	BQ2:BOA	BQ3:BIO	BQ4:BOA	BW1:た、	BW2:、R	BW3:Ru	TC1:IIO	TC2:IOA	TC3:OAA	TC4:AAA	TQ1:BIIO	TQ2:BIOA	TQ3:BIIO	TQ4:BIOA	TW1:れた、	TW2:た、R	TW3:、Ru	TW4:Rus	UC1:I	UC2:I	UC3:O	UC4:A	UC5:A	UC6:A	UP1:B	UP2:B	UP3:B	UQ1:BI	UQ2:BI	UQ3:BO	UW1:れ	UW2:た	UW3:、	UW4:R	UW5:u	UW6:s
-1	BC1:OA	BC2:AA	BC3:AA	BP1:BB	BP2:BB	BQ1:BOA	BQ2:BAA	BQ3:BOA	BQ4:BAA	BW1:、R	BW2:Ru	BW3:us	TC1:IOA	TC2:OAA	TC3:AAA	TC4:AAA	TQ1:BIOA	TQ2:BOAA	TQ3:BIOA	TQ4:BOAA	TW1:た、R	TW2:、Ru	TW3:Rus	TW4:ust	UC1:I	UC2:O	UC3:A	UC4:A	UC5:A	UC6:A	UP1:B	UP2:B	UP3:B	UQ1:BI	UQ2:BO	UQ3:BA	UW1:た	UW2:、	UW3:R	UW4:u	UW5:s	UW6:t
-1	BC1:AA	BC2:AA	BC3:AA	BP1:BB	BP2:BO	BQ1:BAA	BQ2:BAA	BQ3:OAA	BQ4:OAA	BW1:Ru	BW2:us	BW3:st	TC1:OAA	TC2:AAA	TC3:AAA	TC4:AAI	TQ1:BOAA	TQ2:BAAA	TQ3:OOAA	TQ4:OAAA	TW1:、Ru	TW2:Rus	TW3:ust	TW4:stで	UC1:O	UC2:A	UC3:A	UC4:A	UC5:A	UC6:I	UP1:B	UP2:B	UP3:O	UQ1:BO	UQ2:BA	UQ3:OA	UW1:、	UW2:R	UW3:u	UW4:s	UW5:t	UW6:で
-1	BC1:AA	BC2:AA	BC3:AI	BP1:BO	BP2:OO	BQ1:OAA	BQ2:OAA	BQ3:OAA	BQ4:OAA	BW1:us	BW2:st	BW3:tで	TC1:AAA	TC2:AAA	TC3:AAI	TC4:AIH	TQ1:OAAA	TQ2:OAAA	TQ3:OAAA	TQ4:OAAA	TW1:Rus	TW2:ust	TW3:stで	TW4:tで実	UC1:A	UC2:A	UC3:A	UC4:A	UC5:I	UC6:H	UP1:B	UP2:O	UP3:O	UQ1:BA	UQ2:OA	UQ3:OA	UW1:R	UW2:u	UW3:s	UW4:t	UW5:で	UW6:実
1	BC1:AA	BC2:AI	BC3:IH	BP1:OO	BP2:OO	BQ1:OAA	BQ2:OAI	BQ3:OAA	BQ4:OAI	BW1:st	BW2:tで	BW3:で実	TC1:AAA	TC2:AAI	TC3:AIH	TC4:IHH	TQ1:OAAA	TQ2:OAAI	TQ3:OAAA	TQ4:OAAI	TW1:ust	TW2:stで	TW3:tで実	TW4:で実装	UC1:A	UC2:A	UC3:A	UC4:I	UC5:H	UC6:H	UP1:O	UP2:O	UP3:O	UQ1:OA	UQ2:OA	UQ3:OA	UW1:u	UW2:s	UW3:t	UW4:で	UW5:実	UW6:装
1	BC1:AI	BC2:IH	BC3:HH	BP1:OO	BP2:OB	BQ1:OAI	BQ2:OIH	BQ3:BAI	BQ4:BIH	BW1:tで	BW2:で実	BW3:実装	TC1:AAI	TC2:AIH	TC3:IHH	TC4:HHI	TQ1:OAAI	TQ2:OAIH	TQ3:BAAI	TQ4:BAIH	TW1:stで	TW2:tで実	TW3:で実装	TW4:実装さ	UC1:A	UC2:A	UC3:I	UC4:H	UC5:H	UC6:I	UP1:O	UP2:O	UP3:B	UQ1:OA	UQ2:OA	UQ3:BI	UW1:s	UW2:t	UW3:で	UW4:実	UW5:装	UW6:さ
-1	BC1:IH	BC2:HH	BC3:HI	BP1:OB	BP2:BB	BQ1:BIH	BQ2:BHH	BQ3:BIH	BQ4:BHH	BW1:で実	BW2:実装	BW3:装さ	TC1:AIH	TC2:IHH	TC3:HHI	TC4:HII	TQ1:BAIH	TQ2:BIHH	TQ3:BAIH	TQ4:BIHH	TW1:tで実	TW2:で実装	TW3:実装さ	TW4:装され	UC1:A	UC2:I	UC3:H	UC4:H	UC5:I	UC6:I	UP1:O	UP2:B	UP3:B	UQ1:OA	UQ2:BI	UQ3:BH	UW1:t	UW2:で	UW3:実	UW4:装	UW5:さ	UW6:れ
1	BC1:HH	BC2:HI	BC3:II	BP1:BB	BP2:BO	BQ1:BHH	BQ2:BHI	BQ3:OHH	BQ4:OHI	BW1:実装	BW2:装さ	BW3:され	TC1:IHH	TC2:HHI	TC3:HII	TC4:III	TQ1:BIHH	TQ2:BHHI	TQ3:OIHH	TQ4:OHHI	TW1:で実装	TW2:実装さ	TW3:装され	TW4:された	UC1:I	UC2:H	UC3:H	UC4:I	UC5:I	UC6:I	UP1:B	UP2:B	UP3:O	UQ1:BI	UQ2:BH	UQ3:OH	UW1:で	UW2:実	UW3:装	UW4:さ	UW5:れ	UW6:た
1	BC1:HI	BC2:II	BC3:II	BP1:BO	BP2:OB	BQ1:OHI	BQ2:OII	BQ3:BHI	BQ4:BII	BW1:装さ	BW2:され	BW3:れた	TC1:HHI	TC2:HII	TC3:III	TC4:IIH	TQ1:OHHI	TQ2:OHII	TQ3:BHHI	TQ4:BHII	TW1:実装さ	TW2:装され	TW3:された	TW4:れた極	UC1:H	UC2:H	UC3:I	UC4:I	UC5:I	UC6:H	UP1:B	UP2:O	UP3:B	UQ1:BH	UQ2:OH	UQ3:BI	UW1:実	UW2:装	UW3:さ	UW4:れ	UW5:た	UW6:極
1	BC1:II	BC2:II	BC3:IH	BP1:OB	BP2:BB	BQ1:BII	BQ2:BII	BQ3:BII	BQ4:BII	BW1:され	BW2:れた	BW3:た極	TC1:HII	TC2:III	TC3:IIH	TC4:IHI	TQ1:BHII	TQ2:BIII	TQ3:BHII	TQ4:BIII	TW1:装され	TW2:された	TW3:れた極	TW4:た極め	UC1:H	UC2:I	UC3:I	UC4:I	UC5:H	UC6:I	UP1:O	UP2:B	UP3:B	UQ1:OH	UQ2:BI	UQ3:BI	UW1:装	UW2:さ	UW3:れ	UW4:た	UW5:極	UW6:め
1	BC1:II	BC2:IH	BC3:HI	BP1:BB	BP2:BB	BQ1:BII	BQ2:BIH	BQ3:BII	BQ4:BIH	BW1:れた	BW2:た極	BW3:極め	TC1:III	TC2:IIH	TC3:IHI	TC4:HII	TQ1:BIII	TQ2:BIIH	TQ3:BIII	TQ4:BIIH	TW1:された	TW2:れた極	TW3:た極め	TW4:極めて	UC1:I	UC2:I	UC3:I	UC4:H	UC5:I	UC6:I	UP1:B	UP2:B	UP3:B	UQ1:BI	UQ2:BI	UQ3:BI	UW1:さ	UW2:れ	UW3:た	UW4:極	UW5:め	UW6:て
-1	BC1:IH	BC2:HI	BC3:II	BP1:BB	BP2:BB	BQ1:BIH	BQ2:BHI	BQ3:BIH	BQ4:BHI	BW1:た極	BW2:極め	BW3:めて	TC1:IIH	TC2:IHI	TC3:HII	TC4:IIK	TQ1:BIIH	TQ2:BIHI	TQ3:BIIH	TQ4:BIHI	TW1:れた極	TW2:た極め	TW3:極めて	TW4:めてコ	UC1:I	UC2:I	UC3:H	UC4:I	UC5:I	UC6:K	UP1:B	UP2:B	UP3:B	UQ1:BI	UQ2:BI	UQ3:BH	UW1:れ	UW2:た	UW3:極	UW4:め	UW5:て	UW6:コ
-1	BC1:HI	BC2:II	BC3:IK	BP1:BB	BP2:BO	BQ1:BHI	BQ2:BII	BQ3:OHI	BQ4:OII	BW1:極め	BW2:めて	BW3:てコ	TC1:IHI	TC2:HII	TC3:IIK	TC4:IKK	TQ1:BIHI	TQ2:BHII	TQ3:OIHI	TQ4:OHII	TW1:た極め	TW2:極めて	TW3:めてコ	TW4:てコン	UC1:I	UC2:H	UC3:I	UC4:I	UC5:K	UC6:K	UP1:B	UP2:B	UP3:O	UQ1:BI	UQ2:BH	UQ3:OI	UW1:た	UW2:極	UW3:め	UW4:て	UW5:コ	UW6:ン
1	BC1:II	BC2:IK	BC3:KK	BP1:BO	BP2:OO	BQ1:OII	BQ2:OIK	BQ3:OII	BQ4:OIK	BW1:めて	BW2:てコ	BW3:コン	TC1:HII	TC2:IIK	TC3:IKK	TC4:KKK	TQ1:OHII	TQ2:OIIK	TQ3:OHII	TQ4:OIIK	TW1:極めて	TW2:めてコ	TW3:てコン	TW4:コンパ	UC1:H	UC2:I	UC3:I	UC4:K	UC5:K	UC6:K	UP1:B	UP2:O	UP3:O	UQ1:BH	UQ2:OI	UQ3:OI	UW1:極	UW2:め	UW3:て	UW4:コ	UW5:ン	UW6:パ
-1	BC1:IK	BC2:KK	BC3:KK	BP1:OO	BP2:OB	BQ1:OIK	BQ2:OKK	BQ3:BIK	BQ4:BKK	BW1:てコ	BW2:コン	BW3:ンパ	TC1:IIK	TC2:IKK	TC3:KKK	TC4:KKK	TQ1:OIIK	TQ2:OIKK	TQ3:BIIK	TQ4:BIKK	TW1:めてコ	TW2:てコン	TW3:コンパ	TW4:ンパク	UC1:I	UC2:I	UC3:K	UC4:K	UC5:K	UC6:K	UP1:O	UP2:O	UP3:B	UQ1:OI	UQ2:OI	UQ3:BK	UW1:め	UW2:て	UW3:コ	UW4:ン	UW5:パ	UW6:ク
